PASTE YOUR CHAPTER LIST TEXT HERE (exactly as you copied it)

BNI Coimbatore	Link
 	 
BNI Azpire	https://bni-coimbatorerural.in/coimbatore-rural-bni-azpire/en-IN/memberlist?chapterName=28779&regionIds=27585$isChapterwebsite
BNI Capital	https://bni-coimbatorerural.in/bni-greater-coimbatore-capital/en-IN/memberlist?chapterName=42139&regionIds=27585$isChapterwebsite
BNI Admirals	https://bni-coimbatore.in/coimbatore-admirals/en-IN/memberlist?chapterName=11775&regionIds=11676$isChapterwebsite
BNI Benchmark	https://bni-coimbatore.in/coimbatore-benchmark/en-IN/memberlist#:~:text=Chapter%20Members%20%7C%20English%20(IN),Abhishek%20D.
BNI Capital	https://bni-coimbatorerural.in/bni-greater-coimbatore-capital/en-IN/memberlist?chapterName=42139&regionIds=27585$isChapterwebsite
BNI Elite	https://bni-coimbatore.in/coimbatore-elite/en-IN/memberlist#:~:text=Chapter%20Members%20%7C%20English%20(IN)
BNI Industrials II	https://bni-coimbatore.in/coimbatore-industrials-ii/en-IN/memberlist?chapterName=30905&regionIds=11676$isChapterwebsite
BNI Oscar	https://bni-coimbatore.in/coimbatore-oscar/en-IN/memberlist#:~:text=BNI:%20Largest%20Referral%20Organization.%20BNI%20Website%20Chapter%20Members%20page%20for%20Oscar%20in%20English%20(IN)
BNI Phoenix	https://bni-coimbatorerural.in/coimbatore-rural-phoenix/en-IN/memberlist#:~:text=Chapter%20Members%20%7C%20English%20(IN),9842475732
BNI Qcircle	https://bni-coimbatore.in/coimbatore-q-circle/en-IN/memberlist?chapterName=31977&regionIds=11676$isChapterwebsite
BNI Rhythm	https://bni-coimbatore.in/coimbatore-rhythm/en-IN/memberlist?chapterName=31978&regionIds=11676$isChapterwebsite
BNI Tycoons	https://bni-coimbatore.in/coimbatore-tycoons/en-IN/memberlist
BNI Vibrant	https://bni-coimbatorerural.in/bni-greater-coimbatore-vibrant/en-IN/index#:~:text=Our%20Chapter%20Passed%20168%2C814%2C122%20INR,and%20lock%20out%20your%20competition!
BNI Fabulous	https://bni-coimbatore.in/coimbatore-fabulous/en-IN/index#:~:text=Meeting%20Details,641018
BNI Hallmark	https://bni-coimbatore.in/coimbatore-hallmark/en-IN/index#:~:text=Meeting%20Details,Friday%208:00%20AM
BNI Jaguar	https://bni-coimbatore.in/coimbatore-jaguar/en-IN/memberlist#:~:text=Every%20entrepreneur%20knows%20that%20growing,:%20%E2%80%9CWho%20do%20%5B%E2%80%A6%5D
BNI Landmark	https://bni-coimbatore.in/coimbatore-landmark/en-IN/memberlist?chapterName=25558&regionIds=11676$isChapterwebsite
BNI Stalwarts	https://bni-coimbatore.in/coimbatore-stalwarts/en-IN/memberlist?chapterName=33731&regionIds=11676$isChapterwebsite
 	 
BNI Chennai	Link
BNI Global	https://bni-chennaicbda.in/chennai-cbd-(a)-global/en-IN/memberlist#:~:text=Table_title:%20Member%20List%20Table_content:%20header:%20%7C%20Member,Creations%20%7C%20Profession/Specialty:%20Retail%20%3E%20Uniforms%20%7C
BNI Lions	https://bni-chennaicbda.in/chennai-cbd-(a)-lions/en-IN/memberlist#:~:text=Table_title:%20Member%20List%20Table_content:%20header:%20%7C%20Member,Legal%20&%20Accounting%20%3E%20Tax%20Advisor%20%7C
BNI Royals	https://bni-chennaicbda.in/chennai-cbd-(a)-royals/en-IN/memberlist#:~:text=Table_title:%20Member%20List%20Table_content:%20header:%20%7C%20Member,Event%20&%20Business%20Service%20%3E%20Events%20%7C
BNI Azpire	https://bni-chennaicbda.in/chennai-cbd-(a)-azpire/en-IN/memberlist?chapterName=12722&regionIds=12707$isChapterwebsite
BNI Dollars	https://bni-chennaicbda.in/chennai-cbd-(a)-dollars/en-IN/memberlist?chapterName=14021&regionIds=12707$isChapterwebsite
BNI Knights	https://bni-chennaicbdb.in/chennai-cbd-(b)-knights/en-IN/memberlist#:~:text=BNI:%20Largest%20Referral%20Organization.%20BNI%20Website%20Chapter%20Members%20page%20for%20Knights%20in%20English%20(IN)
BNI Ascend	https://bni-chennainorth.in/chennai-north-bni-ascend/en-IN/memberlist#:~:text=Table_title:%20Member%20List%20Table_content:%20header:%20%7C%20Member,Finance%20&%20Insurance%20%3E%20Commercial%20Loans%20%7C
BNI Tiara	https://bni-chennainorth.in/chennai-north-bni-tiara/en-IN/memberlist#:~:text=Table_title:%20Member%20List%20Table_content:%20header:%20%7C%20Member,Business%20Consultant%20%2D%20Organization%20&%20Process%20%7C
BNI Pronto	https://bni-chennainorth.in/chennai-north-bni-pronto/en-IN/memberlist#:~:text=Table_title:%20Member%20List%20Table_content:%20header:%20%7C%20Member,Advertising%20&%20Marketing%20%3E%20Sign%20Company%20%7C
BNI Bravo	https://bni-chennainorth.in/chennai-north-bravo/en-IN/memberlist?chapterName=31850&regionIds=20287$isChapterwebsite
BNI Flyers	https://share.google/gLJ3ukafgYw5eRd6W
BNI Amigos	https://share.google/ZKhZ3uNQA3kq7Gclp
BNI Brilliance	https://bni-chennaisouth.in/en-IN/chapterdetail?chapterId=TjL4JeuSRTtYFcvz0eH4Og%3D%3D&name=Brilliance
BNI Jubilant	https://bni-chennaicbda.in/en-IN/chapterdetail?chapterId=rUBI9jawpakfUqco%2F2vVPA%3D%3D&name=Jubilant
BNI Queens	https://bni-chennaicbda.in/en-IN/chapterdetail?chapterId=Cx%2BR1pheQgDSu2d0E%2F7Yzw%3D%3D&name=Queens
